Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 11,CCOc1ccc2c(c1)c(=O)n(nc2c1cccc(c1)F)CC(=O)N(c1ccc2c(c1)oc(n2)C)C,C27H23FN4O4,486.49,36,25,0.19,7,7,0,135.23,90.46,4.04,4.63,5.13,3.17,4.75,4.35,-5.83,7.28e-04,1.50e-06,Moderately soluble,-6.26,2.70e-04,5.55e-07,Poorly soluble,-9.07,4.10e-07,8.43e-10,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-5.98,0,2,0,0,0,0.55,0,0,2,3.82
Molecule 12,n1ccc(cc1)Cc1c[nH]nc1c1ccc(cc1)OCc1ccc2c(n1)cccc2,C25H20N4O,392.45,30,27,0.08,6,4,1,117.55,63.69,2.85,4.50,5.04,2.74,5.75,4.17,-5.38,1.64e-03,4.19e-06,Moderately soluble,-5.56,1.09e-03,2.76e-06,Moderately soluble,-10.20,2.50e-08,6.38e-11,Insoluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.50,0,0,0,0,0,0.55,0,0,2,3.13
Molecule 13,CNc1nc2cc(OC)c(cc2c(n1)c1cccc(c1)NC(=O)c1ccc(cc1)C(=O)OC)OC,C26H24N4O5,472.49,35,22,0.15,9,7,2,132.76,111.67,3.82,4.15,4.01,2.36,3.95,3.66,-5.26,2.63e-03,5.56e-06,Moderately soluble,-6.20,2.96e-04,6.27e-07,Poorly soluble,-8.99,4.88e-07,1.03e-09,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.24,0,1,0,0,0,0.55,0,0,3,3.21
Molecule 14,COC(=O)c1c(OC/C=C/c2ccc(c(c2)c2onc(c2)C(=O)O)F)cccc1O,C21H16FNO7,413.35,30,17,0.10,8,9,2,103.07,119.09,2.36,4.15,4.07,1.93,3.77,3.26,-4.91,5.10e-03,1.23e-05,Moderately soluble,-6.36,1.81e-04,4.38e-07,Poorly soluble,-5.57,1.10e-03,2.67e-06,Moderately soluble,High,No,No,Yes,No,Yes,No,No,-5.87,0,0,0,0,0,0.56,0,0,3,3.53
Molecule 15,FC(c1nnc2n1nc(cc2)c1ccncc1)(c1ccc2c(c1)cccn2)F,C20H12F2N6,374.35,28,25,0.05,3,7,0,98.75,68.86,2.47,2.74,4.61,3.54,3.32,3.34,-4.35,1.67e-02,4.47e-05,Moderately soluble,-3.84,5.40e-02,1.44e-04,Soluble,-7.86,5.23e-06,1.40e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,No,Yes,-6.64,0,0,0,0,0,0.55,0,0,1,2.93
Molecule 16,CNC(=O)c1ccc(cc1F)c1cnc2n(n1)c(cn2)Cc1ccc2c(c1)cccn2,C23H17FN6O,412.42,31,25,0.09,5,6,1,113.93,85.07,2.15,2.94,3.85,2.80,3.71,3.09,-4.52,1.26e-02,3.05e-05,Moderately soluble,-4.39,1.69e-02,4.09e-05,Moderately soluble,-8.66,9.00e-07,2.18e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.73,0,0,0,0,0,0.55,0,0,1,3.28
Molecule 17,O=C1NC(=O)C(S1)Cc1ccc(cc1)OCc1nc2ccccc2c(=O)n1C,C20H17N3O4S,395.43,28,16,0.20,5,5,1,110.61,115.59,2.48,2.71,1.87,1.71,3.07,2.37,-4.09,3.20e-02,8.09e-05,Moderately soluble,-4.79,6.40e-03,1.62e-05,Moderately soluble,-6.33,1.85e-04,4.68e-07,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.79,0,0,0,0,0,0.55,0,1,1,3.49
Molecule 18,N#Cc1ccc(nc1)C(=O)Nc1ccc(c(c1)[C@]1(C)C=CSC(=N1)N)F,C18H14FN5OS,367.40,26,12,0.11,4,5,2,101.92,129.46,1.68,1.97,2.88,1.47,3.16,2.23,-3.44,1.34e-01,3.66e-04,Soluble,-4.31,1.78e-02,4.85e-05,Moderately soluble,-5.66,8.07e-04,2.20e-06,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-7.14,0,0,0,0,0,0.55,0,0,1,3.90
Molecule 19,CC(NC(=O)COc1cccc(c1)c1nc(Nc2ccc3c(c2)cn[nH]3)c2c(n1)cccc2)C,C26H24N6O2,452.51,34,25,0.15,8,5,3,132.89,104.82,2.95,4.83,4.82,2.39,4.32,3.86,-5.70,8.93e-04,1.97e-06,Moderately soluble,-6.76,7.78e-05,1.72e-07,Poorly soluble,-9.77,7.70e-08,1.70e-10,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-5.63,0,1,0,0,0,0.55,0,0,3,3.33
Molecule 20,Cn1ncc(c1)c1ccc2n(n1)c(nn2)C(c1ccc2c(c1)cccn2)(F)F,C19H13F2N7,377.35,28,24,0.11,3,7,0,98.00,73.79,2.41,2.12,3.95,3.36,2.32,2.83,-3.95,4.22e-02,1.12e-04,Soluble,-3.30,1.89e-01,5.00e-04,Soluble,-6.63,8.93e-05,2.37e-07,Poorly soluble,High,Yes,Yes,No,Yes,Yes,No,No,-7.10,0,0,0,0,0,0.55,0,0,1,3.03
Molecule 21,O=C(c1ccco1)Nc1cccc(c1)c1n[nH]c2c1cc(cc2)c1n[nH]cn1,C20H14N6O2,370.36,28,25,0.00,5,5,3,103.39,112.49,1.21,3.17,3.67,1.42,3.48,2.59,-4.46,1.27e-02,3.44e-05,Moderately soluble,-5.20,2.32e-03,6.27e-06,Moderately soluble,-8.09,3.02e-06,8.17e-09,Poorly soluble,High,No,Yes,No,Yes,No,Yes,No,-6.31,0,0,0,0,0,0.55,0,0,1,2.77
Molecule 22,Brc1cc(ccc1O)C1(OC(=O)c2c3c1cccc3c(cc2)Cl)c1ccc(c(c1)Br)O,C24H13Br2ClO4,560.62,31,22,0.04,2,4,2,126.59,66.76,3.97,7.08,6.78,5.08,6.82,5.95,-8.17,3.80e-06,6.77e-09,Poorly soluble,-8.30,2.81e-06,5.01e-09,Poorly soluble,-10.20,3.58e-08,6.38e-11,Insoluble,Low,No,No,Yes,Yes,No,No,No,-4.69,2,2,0,1,1,0.17,0,0,2,2.97
Molecule 23,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)[C@H](C(=O)O)Cc1ccc2c(c1)c(=O)nc([nH]2)N,C23H22N4O8,482.44,35,16,0.22,11,9,6,123.37,212.77,0.44,0.33,0.97,0.67,1.73,0.83,-2.65,1.08e+00,2.23e-03,Soluble,-4.36,2.10e-02,4.35e-05,Moderately soluble,-4.67,1.04e-02,2.15e-05,Moderately soluble,Low,No,No,No,No,No,No,No,-9.01,2,1,2,1,2,0.11,0,0,2,3.69
Molecule 24,C[C@@H]1O[C@H](C)CN(C1)c1ccc(cn1)NC(=O)c1cccc(c1C)c1ccc(cc1)OC(F)(F)F,C26H26F3N3O3,485.50,35,18,0.31,7,7,1,130.88,63.69,3.99,5.81,6.51,3.25,4.88,4.89,-6.43,1.81e-04,3.72e-07,Poorly soluble,-6.92,5.87e-05,1.21e-07,Poorly soluble,-8.41,1.89e-06,3.89e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-5.14,0,3,0,1,1,0.55,0,0,2,4.16
Molecule 25,O=C(c1ccc2c(c1)cccc2)N/N=C/c1cc(Br)c(c(c1O)Br)O,C18H12Br2N2O3,464.11,25,16,0.00,4,4,3,104.56,81.92,2.97,4.75,4.54,3.47,4.40,4.03,-5.92,5.59e-04,1.20e-06,Moderately soluble,-6.20,2.92e-04,6.30e-07,Poorly soluble,-7.10,3.70e-05,7.96e-08,Poorly soluble,High,No,No,Yes,No,Yes,No,No,-5.76,0,0,0,0,0,0.55,2,1,2,2.84
Molecule 26,Fc1ccc(cc1)n1ncc2c1C=C1CCN(C[C@]1(C2)C(=O)c1ccccn1)S(=O)(=O)c1ccc(cc1)C(F)(F)F,C29H22F4N4O3S,582.57,41,23,0.21,6,10,0,145.26,93.54,3.92,4.56,7.49,3.56,4.48,4.80,-6.34,2.64e-04,4.53e-07,Poorly soluble,-6.25,3.30e-04,5.66e-07,Poorly soluble,-9.36,2.52e-07,4.33e-10,Poorly soluble,Low,No,No,Yes,No,Yes,No,Yes,-6.62,1,3,0,1,0,0.55,0,0,2,4.57
Molecule 27,C[C@@H]1N[C@H](C)CN(C1)Cc1cc(Nc2ncc(c(n2)c2c[nH]c3c2ccc(c3)C)Cl)cc(c1)C1CC1,C29H33ClN6,501.07,36,21,0.38,6,4,3,156.53,68.87,4.23,5.81,5.41,3.67,5.94,5.01,-6.64,1.14e-04,2.28e-07,Poorly soluble,-7.03,4.71e-05,9.41e-08,Poorly soluble,-10.26,2.73e-08,5.46e-11,Insoluble,High,No,Yes,No,Yes,No,Yes,Yes,-5.23,1,2,0,0,1,0.55,0,0,2,4.55
Molecule 28,ONC(=O)c1cnc(nc1)N1C[C@@H]2[C@H](C1)[C@H]2NCc1ccc2c(n1)ccc(c2)F,C20H19FN6O2,394.40,29,16,0.30,6,7,3,105.64,103.27,2.87,1.04,1.39,1.45,1.22,1.59,-2.95,4.40e-01,1.11e-03,Soluble,-2.80,6.26e-01,1.59e-03,Soluble,-5.59,1.02e-03,2.59e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-7.97,0,0,0,0,0,0.55,0,2,1,3.69
Molecule 29,O=C1Nc2c(/C/1=C/Nc1ccc3c(c1)CS(=O)(=O)C3)cc(cc2)c1ocnc1,C20H15N3O4S,393.42,28,17,0.10,3,5,2,107.97,109.68,2.22,1.42,3.19,0.97,2.79,2.12,-3.43,1.48e-01,3.76e-04,Soluble,-3.33,1.85e-01,4.70e-04,Soluble,-7.25,2.21e-05,5.62e-08,Poorly soluble,High,No,Yes,Yes,No,Yes,No,Yes,-7.69,0,0,0,0,0,0.55,0,1,1,3.35
Molecule 30,O/N=C\1/c2c(cccc2N(C1=O)Cc1cc(F)cc2c1OCOC2)/C=C/c1ccccc1,C25H19FN2O4,430.43,32,18,0.12,4,6,1,121.29,71.36,3.47,5.06,4.11,3.25,5.20,4.22,-5.85,6.10e-04,1.42e-06,Moderately soluble,-6.30,2.15e-04,5.01e-07,Poorly soluble,-7.37,1.85e-05,4.31e-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.33,0,0,0,0,1,0.55,0,4,2,3.58
Molecule 31,Cc1cccc(n1)c1nc(Nc2ccc3c(c2)cn[nH]3)c2c(n1)cccc2,C21H16N6,352.39,27,25,0.05,3,4,2,106.93,79.38,2.33,4.07,4.62,2.32,4.08,3.48,-5.08,2.96e-03,8.39e-06,Moderately soluble,-5.44,1.27e-03,3.62e-06,Moderately soluble,-8.90,4.43e-07,1.26e-09,Poorly soluble,High,No,Yes,Yes,Yes,No,Yes,Yes,-5.56,0,0,0,0,0,0.55,0,0,2,2.84
Molecule 32,CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)/C=N/OC(C)(C)C,C25H25N3O5,447.48,33,16,0.36,4,7,1,124.32,103.01,3.58,2.77,2.97,1.87,4.60,3.16,-4.45,1.57e-02,3.51e-05,Moderately soluble,-4.59,1.15e-02,2.58e-05,Moderately soluble,-6.79,7.32e-05,1.64e-07,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-7.06,0,0,0,0,0,0.55,0,2,1,4.58
Molecule 33,OC(=O)CCn1c2ccc(cc2c2c1cc(c1ccccc1)c1c2c(=O)[nH]c1=O)O,C23H16N2O5,400.38,30,22,0.09,4,5,3,115.13,112.39,1.69,2.84,3.28,3.04,4.09,2.99,-4.39,1.63e-02,4.07e-05,Moderately soluble,-4.86,5.55e-03,1.39e-05,Moderately soluble,-6.87,5.35e-05,1.34e-07,Poorly soluble,High,No,No,No,No,No,No,No,-6.73,0,0,0,0,0,0.56,0,0,1,2.62
Molecule 34,O=C(c1cnc2c(n1)cccc2)Nc1ccccc1c1cn2c(n1)scc2CN1CCNCC1,C25H23N7OS,469.56,34,24,0.20,6,6,2,141.42,115.69,3.38,3.20,2.56,1.41,3.52,2.81,-4.89,6.00e-03,1.28e-05,Moderately soluble,-5.30,2.35e-03,5.00e-06,Moderately soluble,-8.08,3.93e-06,8.38e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.89,0,1,0,0,0,0.55,0,0,1,3.74
Molecule 35,Clc1cc(CNC(=O)c2cccc(c2)n2nc3c(n2)nc(nc3O)N)cc(c1)Cl,C18H13Cl2N7O2,430.25,29,21,0.06,5,6,3,108.39,131.84,2.92,3.60,2.59,2.40,1.90,2.68,-4.98,4.49e-03,1.04e-05,Moderately soluble,-6.06,3.79e-04,8.80e-07,Poorly soluble,-6.60,1.08e-04,2.51e-07,Poorly soluble,High,No,No,Yes,No,Yes,No,Yes,-6.37,0,0,0,1,0,0.55,0,0,2,2.79
Molecule 36,Cc1cn2c(n1)c(C)cc(n2)c1cc(=O)n2c(n1)ccc(c2)N1CCNC2(C1)CC2,C22H23N7O,401.46,30,19,0.36,2,5,1,122.27,79.83,3.67,0.52,1.14,2.04,1.81,1.84,-2.99,4.08e-01,1.02e-03,Soluble,-1.77,6.86e+00,1.71e-02,Very soluble,-5.97,4.25e-04,1.06e-06,Moderately soluble,High,No,Yes,Yes,No,Yes,Yes,Yes,-8.38,0,0,0,0,0,0.55,0,0,1,3.96
Molecule 37,COc1cccc(c1O)CNc1ccc(cc1)S(=O)(=O)Nc1nc2c(s1)cccc2,C21H19N3O4S2,441.52,30,21,0.10,7,5,3,119.04,137.17,2.61,4.33,4.97,2.09,3.35,3.47,-5.36,1.92e-03,4.35e-06,Moderately soluble,-6.93,5.25e-05,1.19e-07,Poorly soluble,-7.87,5.90e-06,1.34e-08,Poorly soluble,Low,No,No,Yes,Yes,Yes,Yes,Yes,-5.92,0,0,0,1,0,0.55,1,0,2,3.25
Molecule 38,N[C@@H](Cc1c[nH]c2c1cccc2)COc1cncc2c1ccc(n2)c1ccncc1,C24H21N5O,395.46,30,25,0.12,6,5,2,117.93,89.71,2.94,2.89,4.12,1.21,4.57,3.15,-4.33,1.84e-02,4.64e-05,Moderately soluble,-4.43,1.46e-02,3.68e-05,Moderately soluble,-9.04,3.60e-07,9.10e-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.66,0,0,0,0,0,0.55,0,0,1,3.58
Molecule 39,O=CNc1ccc2c(c1)c1c([nH]2)cc(c2c1c(=O)[nH]c2=O)c1ccccc1Cl,C21H12ClN3O3,389.79,28,22,0.00,3,3,3,111.73,94.82,1.80,3.63,3.66,3.35,5.46,3.58,-4.93,4.61e-03,1.18e-05,Moderately soluble,-5.31,1.91e-03,4.91e-06,Moderately soluble,-8.72,7.48e-07,1.92e-09,Poorly soluble,High,No,No,Yes,Yes,No,No,No,-6.10,0,0,0,0,0,0.55,0,1,2,2.62
Molecule 40,Clc1ccc(cc1)C1=C(CCC(C1)(C)C)CN1CCN(CC1)c1ccc(c(c1)Oc1cnc2c(c1)cc[nH]2)C(=O)NS(=O)(=O)c1ccc(c(c1)[N+](=O)[O-])NCC1CCOCC1,C45H50ClN7O7S,868.44,61,27,0.38,14,9,3,246.70,183.09,5.57,8.18,8.79,3.22,4.83,6.12,-9.78,1.44e-07,1.65e-10,Poorly soluble,-11.88,1.13e-09,1.30e-12,Insoluble,-13.35,3.86e-11,4.45e-14,Insoluble,Low,No,Yes,No,No,No,No,No,-5.79,2,4,2,2,4,0.17,0,2,3,6.05
Molecule 41,O=C(c1cc2ccccc2cc1O)N/N=C/c1ccc(c(c1)O)O,C18H14N2O4,322.31,24,16,0.00,4,5,4,91.19,102.15,1.93,3.57,2.72,1.97,2.56,2.55,-4.32,1.55e-02,4.82e-05,Moderately soluble,-5.40,1.28e-03,3.97e-06,Moderately soluble,-4.94,3.73e-03,1.16e-05,Moderately soluble,High,No,No,No,No,Yes,No,No,-5.73,0,0,0,0,0,0.55,3,2,1,2.58
Molecule 42,Fc1cc(ccc1Oc1ccnc2c1ccc(c2)OCC(O)(C)C)NC(=O)c1c(C)n(n(c1=O)c1ccccc1)C,C31H29FN4O5,556.58,41,27,0.19,9,7,2,154.36,107.61,4.51,4.83,5.60,3.53,4.56,4.60,-6.23,3.30e-04,5.93e-07,Poorly soluble,-6.82,8.36e-05,1.50e-07,Poorly soluble,-9.29,2.87e-07,5.15e-10,Poorly soluble,Low,No,No,No,Yes,Yes,Yes,Yes,-6.27,1,2,0,0,0,0.55,0,0,3,3.91
Molecule 43,OS(=O)(=O)c1cccc2c1c(ccc2)Nc1ccccc1,C16H13NO3S,299.34,21,16,0.00,3,3,2,83.35,74.78,1.85,3.46,4.91,3.27,2.05,3.11,-4.24,1.72e-02,5.73e-05,Moderately soluble,-4.71,5.81e-03,1.94e-05,Moderately soluble,-5.98,3.13e-04,1.04e-06,Moderately soluble,High,No,No,No,No,Yes,No,No,-5.67,0,0,0,0,0,0.85,0,1,0,2.95
Molecule 44,Nc1ccc2c(c1)[n+](CCCCCCc1nnn(c1)CCNc1c3CCCCc3nc3c1cccc3)c(c1c2ccc(c1)N)c1ccccc1,C42H45N8+,661.86,50,35,0.29,12,3,3,209.02,111.55,2.05,8.29,7.87,4.76,7.33,6.06,-8.89,8.48e-07,1.28e-09,Poorly soluble,-10.50,2.11e-08,3.19e-11,Insoluble,-14.34,3.01e-12,4.55e-15,Insoluble,Low,No,No,Yes,Yes,No,No,Yes,-4.45,2,4,1,1,3,0.17,0,3,3,5.12
Molecule 45,Clc1ccc2c(c1Nc1ccnc(n1)Nc1cccc(c1)C(=O)N)OCO2,C18H14ClN5O3,383.79,27,18,0.06,5,5,3,100.29,111.39,2.69,3.27,3.44,2.15,2.06,2.72,-4.44,1.38e-02,3.61e-05,Moderately soluble,-5.28,2.00e-03,5.20e-06,Moderately soluble,-6.68,7.94e-05,2.07e-07,Poorly soluble,High,No,No,Yes,No,Yes,Yes,Yes,-6.32,0,0,0,0,0,0.55,0,0,1,3.06
Molecule 46,CN1CCN(CC1)NC(=O)Nc1cccc2c1C(=O)c1c2n[nH]c1c1sc(nc1C)C,C21H23N7O2S,437.52,31,16,0.33,5,6,3,126.74,134.49,2.78,2.52,1.69,0.75,3.09,2.17,-4.19,2.81e-02,6.42e-05,Moderately soluble,-4.99,4.47e-03,1.02e-05,Moderately soluble,-6.21,2.69e-04,6.15e-07,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-7.18,0,0,0,1,0,0.55,0,0,1,4.01
Molecule 47,COc1ccc(cc1)S(=O)(=O)Nc1cc(c(c2c1cccc2)O)c1c(O)ccc2c1cccc2,C27H21NO5S,471.52,34,26,0.04,5,5,3,134.54,104.24,3.04,5.83,6.77,3.39,4.22,4.65,-6.67,1.00e-04,2.13e-07,Poorly soluble,-7.79,7.65e-06,1.62e-08,Poorly soluble,-9.59,1.21e-07,2.57e-10,Poorly soluble,Low,No,No,No,Yes,Yes,Yes,No,-5.04,0,2,0,1,1,0.55,1,1,2,3.28
Molecule 48,CN(CCC=C1c2ccccc2OCc2c1oc1c2cccc1)C,C21H21NO2,319.40,24,15,0.24,3,3,0,97.45,25.61,3.70,4.10,4.56,3.11,4.65,4.02,-4.67,6.86e-03,2.15e-05,Moderately soluble,-4.34,1.45e-02,4.53e-05,Moderately soluble,-7.03,3.02e-05,9.44e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-5.34,0,0,0,0,0,0.55,0,0,1,4.00
Molecule 49,O[C@@H]1CO[C@H](C[C@@H]1O)O[C@H]1C[C@@](N)(Cc2c1c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2)C(=O)C,C25H25NO9,483.47,35,12,0.40,3,10,5,120.20,176.61,2.56,0.92,0.31,-1.26,1.57,0.82,-3.47,1.63e-01,3.37e-04,Soluble,-4.21,2.95e-02,6.10e-05,Moderately soluble,-3.81,7.57e-02,1.57e-04,Soluble,Low,No,Yes,No,No,No,No,No,-8.60,0,1,1,1,1,0.55,1,1,1,5.36
Molecule 50,Cn1c(Nc2ccc(cc2)C(F)(F)F)nc2c1ccc(c2)Oc1ccnc(c1)c1ncc([nH]1)C(F)(F)F,C24H16F6N6O,518.41,37,26,0.12,7,10,2,122.44,80.65,2.78,5.41,9.24,3.31,5.31,5.21,-6.52,1.56e-04,3.02e-07,Poorly soluble,-6.86,7.18e-05,1.38e-07,Poorly soluble,-9.86,7.24e-08,1.40e-10,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-5.62,1,2,0,1,1,0.55,0,0,2,3.33
