SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
O=C1N=c2ccc3ncsc3c2=C1CNc1ccc(S(=O)(=O)Nc2ccccn2)cc1	449.517	1.9147	6	7	2	180.624	-3.747	0.86	88.749	-2.742	Yes	Yes	Yes	-0.286	0	-0.889	-2.953	No	Yes	No	No	No	No	Yes	-0.19	No	No	0.706	No	Yes	2.617	1.237	Yes	No	0.293	1
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1	560.605	4.48142	5	8	1	234.968	-3.426	1.19	97.462	-2.735	Yes	Yes	Yes	-0.172	0.244	-1.462	-3.828	No	Yes	No	No	No	No	Yes	0.365	No	No	0.646	No	Yes	2.709	0.962	Yes	No	0.285	0.391
O=S(=O)(Nc1cc(Cl)c(Oc2cnc3ccccc3c2)c(Cl)c1)c1ccc(Cl)cc1Cl	514.217	7.4415	5	4	1	198.084	-4.821	1.169	87.049	-2.736	Yes	Yes	Yes	0.016	0.168	-0.965	-1.524	No	Yes	Yes	Yes	Yes	No	Yes	0.218	No	No	0.812	No	Yes	2.841	0.058	Yes	No	0.288	-3.475
Cc1ccc(O)cc1Nc1ccnc2cc(-c3csc(C=O)n3)ccc12	361.426	4.92842	4	6	2	153.542	-3.825	0.89	92.742	-2.763	Yes	Yes	Yes	0.057	0.148	-0.324	-1.983	No	No	Yes	Yes	Yes	No	Yes	0.202	No	Yes	0.35	No	Yes	3.1	0.421	Yes	No	0.308	0.99
COc1ccc2ccccc2c1/C=N/NC(=O)c1ccc(O)c(O)c1	336.347	3.0235	4	5	3	143.544	-4.014	0.909	93.735	-2.755	Yes	No	No	-0.219	0	-0.852	-2.335	No	No	Yes	Yes	Yes	No	Yes	0.425	No	Yes	0.527	No	Yes	1.89	2.655	Yes	No	0.435	-0.864
Cc1cc(-c2csc(Nc3ccc(C(=O)O)c(O)c3)n2)ccc1F	344.367	4.40502	4	5	3	140.601	-3.716	0.897	93.494	-2.735	Yes	No	No	-0.837	0.143	-1.429	-2.005	No	No	Yes	No	No	No	No	-0.05	No	No	1.473	No	No	2.889	2.054	Yes	No	0.291	-0.57
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2Cl)OC1(C)C	697.137	5.37032	9	11	5	285.559	-3.214	0.678	64.911	-2.735	Yes	Yes	Yes	0.083	0.08	-2.166	-3.967	No	Yes	No	No	No	No	No	-0.343	No	No	0.879	No	Yes	2.488	1.707	No	No	0.285	1.571
CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1	533.612	4.20014	8	9	3	225.180	-3.069	0.97	86.479	-2.736	Yes	Yes	No	-0.048	0.103	-2.19	-3.7	No	Yes	No	No	No	No	No	0.093	No	No	0.217	No	Yes	2.643	2.114	Yes	No	0.285	0.857
CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(Cl)c(C(F)(F)F)c4)[nH]c3c2)ccn1	461.831	5.5256	5	5	3	184.145	-2.937	0.707	87.945	-2.735	Yes	Yes	No	-0.104	0.182	-1.674	-2.198	No	No	Yes	Yes	Yes	No	Yes	0.526	Yes	Yes	0.167	No	Yes	2.207	0.585	Yes	No	0.285	0.073
COC(=O)[C@H](Cc1ccc(-n2c(=O)c3cc(N(C)C)ccc3n(C)c2=O)cc1)NC(=O)c1c(Cl)cccc1Cl	569.445	3.5763	7	8	1	233.682	-4.561	0.336	86.32	-2.735	Yes	Yes	Yes	-0.449	0.163	-1.322	-2.545	No	Yes	No	Yes	Yes	No	Yes	0.105	No	No	0.123	No	Yes	3.096	0.776	Yes	No	0.286	-3.625
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)[C@@H](O)[C@H]1O	533.438	-0.2608	8	13	6	208.167	-2.889	-0.682	51.793	-2.735	Yes	No	No	0.471	0.432	-2.038	-4.759	No	No	No	No	No	No	No	0.584	No	Yes	0.436	No	Yes	2.431	3.828	No	No	0.285	-0.439
NC(=[NH2+])c1ccc2[nH]c(-c3cc(OC(F)(F)F)ccc3[O-])nc2c1	336.273	0.6665	3	3	3	132.758	-2.883	-0.336	69.232	-2.735	Yes	No	Yes	0.688	0.109	-0.544	-2.729	No	No	Yes	No	No	No	No	0.536	Yes	Yes	0.039	Yes	Yes	2.751	1.984	Yes	No	0.285	2.407
Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(C2(N)CCC2)cc1	432.531	5.0696	4	6	2	191.496	-2.892	0.267	100	-2.735	Yes	Yes	Yes	-0.176	0.316	-0.704	-1.943	No	Yes	Yes	Yes	Yes	No	Yes	0.884	Yes	Yes	0.385	No	Yes	2.481	0.573	Yes	No	0.285	-1.958
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(Cl)ccc3C)ccc2[nH]1	462.893	4.55682	3	5	3	193.319	-2.928	0.476	86.529	-2.735	Yes	Yes	Yes	0.271	0.275	-1.203	-2.275	No	No	Yes	Yes	Yes	No	No	0.613	No	No	0.354	No	Yes	2.472	2.792	Yes	No	0.285	-0.277
CN(C)C1=CCC2=C(c3ccc(N4C(=O)C=CC4=O)cc3C(=O)O)c3ccc(N(C)C)cc3OC2=C1	483.524	3.8076	5	6	1	208.224	-3.948	1.359	100	-2.733	Yes	No	No	-1.115	0.064	-0.244	-2.366	No	No	No	No	No	No	No	0.772	No	No	0.576	No	No	2.705	1.379	Yes	No	0.286	1.427
O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12	302.238	1.988	1	7	5	122.108	-2.937	0.168	68.966	-2.735	Yes	No	No	-0.212	0.099	-1.656	-3.517	No	No	Yes	No	No	No	Yes	0.552	No	Yes	0.861	No	No	2.814	2.498	No	No	0.294	0.903
COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O	300.266	2.5854	2	6	3	123.998	-3.516	0.529	82.644	-2.739	Yes	No	No	0.041	0.134	-1.059	-2.448	No	No	Yes	Yes	Yes	No	Yes	0.616	No	No	0.585	No	No	2.517	1.42	No	No	0.348	0.944
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O	300.266	2.5854	2	6	3	123.998	-3.755	1.076	82.692	-2.735	Yes	No	No	-0.13	0.105	-1.08	-2.432	No	No	Yes	Yes	No	No	Yes	0.731	No	No	0.814	No	No	2.439	1.678	No	No	0.316	0.119
CN(Cc1cnc2nc(N)[nH]c(=O)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	455.431	-0.0205	9	9	5	185.852	-2.908	-0.591	5.265	-2.735	Yes	No	No	-0.328	0.174	-2.021	-4.217	No	No	No	No	No	No	No	0.622	No	No	-0.717	No	Yes	3.024	3.844	Yes	No	0.285	3.21
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1	482.821	5.6888	5	4	3	189.277	-4.925	1.092	84.01	-2.747	Yes	Yes	Yes	-0.098	0	-1.876	-2.056	No	Yes	No	No	Yes	No	Yes	-0.033	No	No	0.411	No	Yes	2.275	1.333	Yes	No	0.307	0.999
O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12	443.45	6.0593	6	5	2	179.053	-4.454	0.543	87.885	-2.735	Yes	Yes	Yes	-0.166	0.028	-0.062	-1.725	Yes	Yes	Yes	Yes	Yes	No	Yes	-0.114	No	Yes	0.601	No	Yes	2.513	1.154	Yes	No	0.304	-0.618
COc1cc(-c2cc(=O)c3c(O)cc(O)c(CC=C(C)C)c3o2)ccc1O	368.385	4.0941	4	6	3	155.133	-4.417	0.808	85.156	-2.735	Yes	No	Yes	-0.255	0.077	-1.135	-2.201	No	No	Yes	Yes	Yes	No	No	0.5	No	No	0.651	No	Yes	2.301	1.409	No	No	0.312	-1.316
C[C@@H](O)[C@H](N)C1=N/C(=C\c2c[nH]c3ccccc23)C(=O)N1CC(=O)O	342.355	0.5422	5	5	4	142.818	-3.064	-0.364	47.383	-2.932	Yes	No	No	-0.625	0.564	-0.812	-3.175	No	Yes	No	No	No	No	No	0.339	No	Yes	0.498	No	No	2.454	1.285	Yes	No	0.333	2.861
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1	560.649	5.0269	7	6	3	237.218	-3.268	0.777	92.158	-2.735	Yes	Yes	Yes	-0.113	0.13	-1.399	-2.335	Yes	Yes	No	Yes	Yes	No	Yes	0.794	No	No	0.556	No	Yes	2.488	1.94	Yes	No	0.285	2.8
Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1	503.591	6.63682	6	9	2	216.417	-2.92	1.488	100	-2.735	No	Yes	Yes	-0.571	0.315	-0.553	-3.25	No	Yes	Yes	Yes	Yes	No	No	-0.133	No	No	0.456	No	Yes	2.775	1.583	Yes	No	0.285	-2.316
NS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)c1	419.85	2.9933	5	8	3	165.075	-3.951	0.461	87.723	-2.742	Yes	Yes	Yes	-0.081	0.032	-1.579	-3.551	No	No	Yes	No	No	No	Yes	-0.275	No	No	0.496	No	Yes	2.386	1.795	Yes	No	0.297	0.38
c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1	246.313	4.24	2	0	2	110.635	-4.549	1.44	93.233	-2.759	Yes	No	No	-0.072	0.102	0.905	-1.083	Yes	Yes	Yes	Yes	Yes	Yes	No	0.669	No	Yes	0.881	No	Yes	2.185	1.88	No	No	0.489	-0.024
CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C	612.632	3.62712	8	11	5	252.330	-3.465	0.463	61.415	-2.735	Yes	Yes	Yes	0.434	0	-2.058	-3.864	No	Yes	No	No	No	No	No	-0.262	No	No	0.957	No	Yes	3.145	1.708	Yes	No	0.285	2.862
O=C(NS(=O)(=O)c1ccc(NC[C@H]2COCCO2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CC4(CCC4)CC3)CC2)cc1Oc1cnc2[nH]ccc2c1	882.44	7.7928	13	12	3	364.138	-2.959	0.587	92.785	-2.735	Yes	Yes	Yes	-0.529	0.264	-2.045	-3.422	No	Yes	No	No	No	No	Yes	0.332	No	No	0.221	No	Yes	2.469	1.584	Yes	No	0.285	-0.489
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O	437.529	3.13904	5	8	2	180.144	-3.7	0.018	94.544	-2.761	Yes	Yes	Yes	-0.11	0.152	-1.3	-2.462	No	Yes	Yes	Yes	No	No	Yes	0.275	No	No	0.21	No	Yes	2.83	1.23	Yes	No	0.308	1.651
CNc1nc(NC2CCN(Cc3ccc4c(cc(C#N)n4C[C@H](C)N4CCN(S(C)(=O)=O)CC4)c3C)CC2)c2cc(CC(F)(F)F)sc2n1	717.888	5.0148	10	11	2	288.302	-3.675	0.765	80.369	-2.736	Yes	Yes	Yes	1.127	0.178	-1.588	-2.564	Yes	Yes	No	No	Yes	No	Yes	0.373	No	No	-0.162	No	Yes	2.71	0.121	No	No	0.286	0.948
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	464.831	5.5497	5	4	3	185.111	-5.026	1.074	84.981	-2.764	Yes	Yes	Yes	-0.071	0	-1.67	-2.006	No	Yes	No	Yes	Yes	No	Yes	-0.205	No	No	0.422	No	Yes	2.332	0.855	Yes	No	0.333	1.12
CC(/C=C/c1c(C)cc(O)c(C)c1C)=C\C=C\C(C)=C\C(=O)O	312.409	4.86406	5	2	2	137.532	-4.882	1.347	93.34	-2.716	No	No	No	-0.457	0.075	-0.133	-1.85	No	No	No	No	No	No	No	0.823	No	No	0.387	No	No	2.683	2.102	No	No	0.835	-0.683
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12	270.24	2.5768	1	5	3	112.519	-3.073	0.995	95.472	-2.735	Yes	No	No	-0.4	0.124	-1.213	-2.296	No	No	Yes	Yes	No	No	No	0.252	No	No	0.9	No	No	2.424	2.337	No	No	0.346	-0.202
N=C(NC(=N)N1CCCC1)Nc1ccc(OC(F)(F)F)cc1	315.299	2.55204	2	3	4	124.821	-2.872	0.712	88.27	-2.735	Yes	No	No	-0.235	0.635	-1.675	-4.091	No	No	No	No	No	No	No	0.312	No	No	-0.182	No	No	2.69	1.518	No	No	0.043	3.925
O=C(Nc1cccc(S(=O)(=O)N2CCN(c3ccccn3)CC2)c1)Nc1nccs1	444.542	2.693	5	7	2	177.986	-4.568	0.673	85.534	-3.007	Yes	No	No	-0.513	0.155	-1.241	-3.137	No	Yes	No	No	No	No	Yes	0.026	No	No	-0.334	No	Yes	2.922	0.669	Yes	No	0.384	1.612
CC(C)=CCC/C(C)=C/CC/C(C)=C/CN1C(=O)c2cccc(O)c2Nc2c(O)cc(O)cc21	462.59	6.9264	8	5	4	201.107	-3.563	1.099	83.613	-2.735	Yes	Yes	Yes	0.239	0.076	-1.282	-2.017	No	No	No	Yes	Yes	No	No	0.286	No	No	0.514	No	Yes	2.156	2.528	Yes	No	0.292	-0.854
N=C1NC(=O)/C(=C/c2ccc(-c3ccc(C(=O)O)cc3)o2)S1	314.322	2.78347	3	5	3	128.888	-4.009	0.878	66.002	-2.73	Yes	No	No	-1.027	0.291	-0.942	-3.016	No	No	No	No	No	No	No	-0.043	No	No	0.742	No	No	2.059	1.876	No	No	0.354	1.464
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	286.239	2.2824	1	6	4	117.313	-3.023	0.198	78.901	-2.735	Yes	No	No	-0.116	0.114	-1.32	-2.45	No	No	Yes	No	Yes	No	Yes	0.556	No	Yes	0.954	No	No	2.708	1.718	No	No	0.329	0.765
O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc3ccccc3c2C2CC2)cc1	542.535	6.1045	8	5	1	215.717	-3.921	0.975	97.719	-2.735	No	No	Yes	-1.298	0.285	-1.465	-3.083	No	Yes	No	No	Yes	No	No	0.436	No	No	0.394	No	No	2.484	0.14	Yes	No	0.285	-1.906
NS(=O)(=O)c1ccc(NC(=O)c2n[nH]c3ccccc23)cc1	316.342	1.4626	3	4	3	125.744	-3.163	-0.142	76.484	-2.735	Yes	No	No	0.146	0.014	-1.134	-2.833	No	No	Yes	No	No	No	No	0.575	No	No	0.93	No	No	1.746	2.501	Yes	No	0.325	-0.535
O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO	379.46	2.7235	9	4	4	163.623	-3.354	0.806	92.33	-2.737	Yes	No	Yes	0.891	0.214	-1.019	-2.774	Yes	Yes	Yes	Yes	No	Yes	Yes	1.29	No	No	0.429	No	Yes	2.59	3.294	Yes	No	0.293	0.683
CC[C@]1(O)Cc2cc3c(c(O)c2[C@@H](O[C@H]2C[C@H](N(C)C)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O	511.571	2.4442	4	9	4	214.797	-3.968	0.237	70.004	-2.733	Yes	No	No	1.364	0.134	-1.278	-3.538	No	No	No	No	No	No	No	1.001	No	Yes	0.104	No	Yes	3.108	2.597	Yes	No	0.285	3.396
C=CC(=O)N[C@H]1C=C(C)c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2C1	396.454	3.3164	3	6	2	172.516	-3.332	0.92	100	-2.741	Yes	Yes	Yes	0.563	0.167	-0.674	-2.391	No	Yes	Yes	Yes	Yes	No	Yes	0.627	No	No	-0.172	No	Yes	2.963	0.485	Yes	No	0.289	2.24
CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	454.447	0.09877	9	9	6	186.376	-2.893	-0.929	7.989	-2.735	Yes	No	No	-0.398	0.21	-2.305	-4.942	No	No	No	No	No	No	No	0.669	No	No	-1.313	No	Yes	2.868	4.049	Yes	No	0.285	4.869
Nc1cc(Oc2ccc(NC(=O)NC(=O)Cc3ccc(F)cc3)cc2F)ccn1	398.369	3.6251	5	5	3	164.067	-4.795	0.637	86.897	-2.739	Yes	Yes	Yes	-0.545	0.061	-1.544	-3.158	No	Yes	No	No	Yes	No	Yes	-0.15	No	No	0.551	No	Yes	1.974	1.52	Yes	No	0.301	2.125
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1	372.417	4.0316	4	3	1	150.770	-5.034	0.697	96.301	-2.732	Yes	No	No	-1.141	0	-0.235	-2.025	No	Yes	Yes	No	No	No	No	0.511	No	No	0.361	No	No	3.085	1.894	Yes	No	0.384	0.31
FC(F)(F)c1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	415.242	6.1668	6	3	0	163.861	-3.539	0.591	90.54	-2.741	Yes	No	Yes	0.521	0.088	0.319	-1.407	No	No	Yes	Yes	Yes	Yes	Yes	0.717	Yes	No	1.291	No	Yes	2.837	0.774	No	No	0.285	-1.216
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12	575.687	5.69592	8	7	2	239.066	-5.074	0.462	94.835	-2.735	Yes	Yes	Yes	-0.842	0.08	-0.66	-3.036	No	Yes	No	Yes	Yes	No	Yes	-0.132	Yes	No	-0.093	No	Yes	2.407	1.895	Yes	No	0.285	-3.206
O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O	381.384	3.414	6	6	5	160.533	-3.127	-0.189	58.099	-2.735	Yes	No	No	-0.593	0.093	-1.389	-3.25	No	No	Yes	No	Yes	No	No	0.357	No	No	0.476	No	Yes	2.4	1.062	No	No	0.289	2.028
CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC	811.878	3.1577	9	16	4	335.785	-3.146	0.815	81.104	-2.735	Yes	Yes	No	1.517	0.157	-2.282	-4.159	No	Yes	No	No	No	No	No	0.894	No	Yes	0.443	No	Yes	3.734	2.486	Yes	No	0.285	3.93
CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1	443.551	3.9165	5	7	1	192.675	-2.904	0.924	89.242	-2.735	Yes	Yes	Yes	-0.522	0.201	-0.398	-2.238	No	Yes	No	Yes	Yes	No	Yes	1	Yes	No	-0.175	No	Yes	2.255	1.249	No	No	0.285	-1.537
N=C(N)c1ccc2cccc(NC(=O)c3cccc(S(=O)(=O)OCCCO)c3)c2c1	427.482	2.46387	8	6	4	173.474	-4.411	-0.049	75.349	-2.741	Yes	No	Yes	-0.117	0.063	-1.159	-2.862	No	No	No	No	Yes	No	Yes	0.423	No	No	0.606	No	Yes	2.23	2.155	Yes	No	0.294	2.202
CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1	421.497	4.5493	8	5	3	181.134	-5.314	1.094	84.952	-2.739	Yes	Yes	Yes	0.253	0	-0.98	-2.388	No	Yes	No	Yes	Yes	No	Yes	0.87	No	Yes	0.281	No	Yes	2.631	2.755	Yes	No	0.301	0.264
O=C(Nc1c[nH]nc1C(=O)Nc1ccc(F)cc1)c1ccccc1	324.315	3.0534	4	3	3	136.261	-3.674	0.704	92.267	-2.743	Yes	No	No	-0.455	0.062	-1.231	-2.282	No	Yes	Yes	Yes	Yes	No	Yes	-0.08	No	No	0.334	No	Yes	2.677	0.972	No	No	0.311	3.859
Cc1c(-c2ccccc2)ccc2nc(N)nc(N)c12	250.305	2.76962	1	4	2	110.654	-4.009	0.871	96.031	-2.746	Yes	No	No	-0.08	0.09	0.213	-2.046	No	No	Yes	Yes	No	No	No	0.196	No	Yes	0.473	No	No	3.082	0.975	Yes	No	0.387	1.173
COc1ccc(-c2c(-c3ccc(O)cc3O)n[nH]c2C)cc1	296.326	3.47192	3	4	3	127.375	-3.288	0.617	97.235	-2.735	Yes	No	No	-0.049	0.063	-1.376	-2.404	No	No	Yes	Yes	Yes	Yes	Yes	0.325	No	No	0.862	No	Yes	2.699	1.702	Yes	No	0.316	0.158
COc1ccccc1-n1c(CSc2ncnc3[nH]cnc23)nc2cccc(Cl)c2c1=O	450.911	4.0063	5	8	1	184.858	-2.893	0.73	89.344	-2.735	Yes	Yes	Yes	-0.199	0.306	-1.824	-3.625	No	No	No	Yes	Yes	No	Yes	0.366	No	No	0.437	No	Yes	2.446	2.562	Yes	No	0.285	0.31
Cc1c[nH]c2c(O)cc3c(c12)[C@H](CCl)CN3C(=O)c1cc2cc(NC(=O)Nc3ccc4[nH]c(C(=O)N5C[C@@H](CCl)c6c5cc(O)c5[nH]cc(C)c65)cc4c3)ccc2[nH]1	815.718	9.24944	6	5	8	339.468	-2.892	0.466	97.378	-2.735	Yes	No	Yes	-0.512	0.375	-2.32	-1.472	Yes	Yes	No	No	No	No	No	0.108	No	No	0.427	No	Yes	2.471	6.106	Yes	No	0.285	-0.851
O=C(O)CCc1cc(C(=O)c2ccc(OC3CCCC3)cc2O)ccc1OCc1ccc2c(O)noc2c1	517.534	5.3876	10	8	3	217.769	-4.229	0.484	72.327	-2.735	Yes	No	Yes	-0.621	0.148	-1.656	-3.409	No	Yes	No	No	Yes	No	No	-0.059	No	No	0.246	No	Yes	2.27	1.357	Yes	No	0.285	-0.545
